"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
1571,608,"2022-12-23 00:00:00","PURCHASED",NULL,NULL,NULL,"2022-12-23 07:06:53.351337","2023-11-17 06:50:59.668952",NULL,NULL,NULL,NULL,NULL,"0000255",7,NULL,"0000293",NULL,"2022-12-23 00:00:00","2023-12-23 00:00:00",2220000,0,"Without Baridi Care","1 Year",185000,"Yes",False,NULL,NULL,NULL
3111,1360,"2024-01-15 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-01-15 13:35:14.012","2024-03-06 08:22:23.313846",NULL,NULL,NULL,NULL,NULL,"0000118",5,NULL,"0000127",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1047,246,"2022-02-04 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-02-04 12:59:55.747734","2024-01-31 10:40:36.594791","2024-01-31",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1935,816,"2023-03-21 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-03-21 08:05:12.660165","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000454",7,NULL,"0000449",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1938,815,"2023-03-21 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-03-21 08:07:30.522324","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000413",6,NULL,"0000554",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1933,813,"2023-03-21 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-03-21 07:46:47.569323","2023-12-26 14:28:25.574586","2023-12-26",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
982,203,"2021-12-28 00:00:00","ACTIVE",NULL,NULL,NULL,"2021-12-28 09:51:30.340985","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000161",5,NULL,"0000134","2022-01-02 05:56:47.884286",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1280,416,"2022-06-11 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-06-11 09:43:20.968064","2024-02-10 14:29:06.118295","2024-02-10",NULL,NULL,71,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1183,352,"2022-04-11 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-04-11 10:38:09.084777","2023-10-18 08:31:03.490823","2023-10-18",NULL,NULL,71,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
994,100,"2022-01-05 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-01-05 13:21:46.322403","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000315",5,NULL,"0000309","2022-02-01 00:00:00",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
996,211,"2022-01-05 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-01-05 13:26:38.846839","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000164",5,NULL,"0000222","2022-02-01 00:00:00",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1430,491,"2022-11-02 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-11-02 06:25:09.425613","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000356",5,NULL,"0000358",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1013,223,"2022-01-14 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-01-14 10:28:35.087825","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000200",5,NULL,"0000229","2022-02-01 00:00:00",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1303,430,"2022-06-27 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-06-24 12:45:38.949765","2024-03-21 14:59:40.402507","2024-03-21",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2458,179,"2023-08-04 07:52:26.996","UNINSTALLED",NULL,NULL,NULL,"2023-08-04 07:52:26.997","2023-08-07 07:35:19.858627","2023-08-07",NULL,NULL,71,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1017,227,"2022-01-19 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-01-19 13:50:12.52122","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000165",5,NULL,"0000203","2022-02-01 00:00:00",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1036,238,"2022-01-31 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-01-31 13:55:03.285069","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000144",5,NULL,"0000190","2022-02-01 00:00:00",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1434,517,"2022-11-08 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-11-08 06:31:33.192917","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000335",7,NULL,"0000297",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
833,116,"2021-10-13 00:00:00","ACTIVE",NULL,NULL,NULL,"2021-10-28 14:46:56.112065","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000181",6,NULL,"0000168","2021-12-03 06:49:17.921839",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1796,741,"2023-02-27 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-02-27 07:34:56.363979","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000177",6,NULL,"0000236",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1057,257,"2022-02-10 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-02-10 11:47:23.863886","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000163",5,NULL,"0000319",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1060,256,"2022-02-10 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-02-10 11:51:05.567248","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000228",7,NULL,"0000146",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1089,278,"2022-03-01 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-03-01 13:29:08.412737","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000258",5,NULL,"0000148",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1093,287,"2022-03-03 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-03-03 12:30:12.267985","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000149",6,NULL,"0000237",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1096,295,"2022-03-04 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-03-04 12:11:47.800241","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000196",5,NULL,"0000169",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1226,379,"2022-05-11 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-05-11 05:27:07.116097","2023-07-11 07:55:39.610043","2023-07-11",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
